Aiguaneu;Sleet
Allau;Avalanche
Anemòmetre;Anemometer
Arc de Sant Martí;Rainbow
Assolellat;Sunny
Atmosfera;Atmosphere
Baròmetre;Barometer
Boira;Fog
Boirina contaminada;Smog
Brillant;Bright
Brisa;Breeze
Bufada;Blast
Calamarsa;Hail
Calitja;Mist
Calitja;Haze
Calor;Heat
Calorós;Hot
Caramell;Icicle
Celsius;Celsius
Cicló;Cyclone
Clar;Clear
Clar de lluna;Moonlight
Clima;Climate
Congelat;Frozen
Cremada solar;Sunburn
Ennuvolat;Overcast
Escalfament;Warmth
Esllavissada;Landslide
Fahrenheit;Fahrenheit
Floc de neu;Snowflake
Fred;Cold
Fredor;Chill
Fresc;Cool
Front (atmosfèric);Front
Fum;Smoke
Gebre;Hoarfrost
Gel;Ice
Gel invisible;Black ice
Gelat;Freezing
Glaçada;Frost
Glaçador;Chilly
Glaçat;Icy
Humit;Damp
Humitat;Humidity
Humitat;Moisture
Huracà;Hurricane
Inundació;Flood
Llampec;Lightning
Llum de sol;Sunshine
Mapa meteorològic;Weather map
Meteoròleg;Meteorologist
Meteorologia;Meteorology
Mig ennuvolat;Partly cloudy
Moll;Wet
Nebulosa de neu;Whiteout
Neu;Snow
Nevada;Snowfall
Núvol;Cloud
Ona de calor;Heatwave
Penell;Weather vane
Plugim;Drizzle
Pluja;Rain
Pluviòmetre;Rain gauge
Posta del sol;Sunset
Predicció;Forecast
Pressió;Pressure
Punt de rosada;Dew point
Ràfega;Gust
Raig;Lightning bolt
Raigs UV;UV rays
Remolí;Whirlwind
Rosada;Dew
Ruixat;Shower
Sec;Dry
Sensació tèrmica;Wind chill
Sequera;Drought
Sol;Sun
Sortida del sol;Sunrise
Suau;Mild
Tèbi;Warm
Temperatura;Temperature
Tempesta;Storm
Tempesta de neu;Snowstorm
Tempesta de pols;Dust storm
Tempesta elèctrica;Thunderstorm
Tempestuós;Stormy
Temps;Weather
Termòmetre;Thermometer
Tifó;Typhoon
Torb;Blizzard
Tornado;Tornado
Tòrrid;Scorching
Tro;Thunder
Vent;Wind
Vent fort;Gale
Ventós;Windy
Ventós i variable;Blustery
Visibilitat;Visibility
Xàfec fort;Downpour
Xafogós;Sweltering
