aire;air;
hereu;heir;
passadís;aisle;
illa;isle;
nu;bare;
ós;bear;
ser;be;
abella;bee;
fre;brake;
trencar;break;
comprar;buy;
per;by;
cel·la;cell;
vendre;sell;
cent;cent;
olor;scent;
cereal;cereal;
sèrie;serial;
gruixut;coarse;
curs;course;
estimat;dear;
cérvol;deer;
morir;die;
tenyir;dye;
ull;eye;
jo;I;
just;fair;
tarifa;fare;
avet;fir;
pell;fur;
farina;flour;
flor;flower;
per a;for;
quatre;four;
cridar;hail;
sa;hale;
pèl;hair;
llebre;hare;
aquí;here;
sentir;hear;
forat;hole;
sencer;whole;
hora;hour;
nostre;our;
conèixer;know;
no;no;
cavaller;knight;
nit;night;
nucli;knot;
no (partícula);not;
sap/conèix;knows;
nas;nose;
fets;made;
donzella;maid;
correu;mail;
mascle;male;
carn;meat;
trobar;meet;
nou;new;
sabia;knew;
un;one;
guanyat;won;
parell;pair;
pera;pear;
pau;peace;
peça;piece;
pla;plain;
avió;plane;
pobre;poor;
abocar;pour;
pregar;pray;
presa;prey;
principal;principal;
principi;principle;
benefici;profit;
profeta;prophet;
real;real;
bobina;reel;
dreta;right;
escriure;write;
arrel;root;
ruta;route;
navegar;sail;
venda;sale;
mar;sea;
veure;see;
costura;seam;
semblar;seem;
cosir;sew;
així;so;
riba;shore;
segur;sure;
vista;sight;
lloc;site;
;;
;;
;;
;;
;;
;;
;;
;;
;; 
